,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,14.0,AU,1603857949.0,32.0,-33.65,115.33,75.99,7.83
1,Vardø,75.0,NO,1603857949.0,93.0,70.37,31.11,37.4,14.99
2,Vaini,20.0,TO,1603857793.0,74.0,-21.2,-175.2,78.8,9.17
3,Yellowknife,40.0,CA,1603857736.0,72.0,62.46,-114.35,14.0,6.93
4,Port Alfred,54.0,ZA,1603857795.0,83.0,-33.59,26.89,63.34,11.34
5,Ushuaia,40.0,AR,1603857688.0,48.0,-54.8,-68.3,44.6,12.75
6,Tuktoyaktuk,90.0,CA,1603857951.0,92.0,69.45,-133.04,10.4,16.11
7,Eenhana,75.0,NA,1603857951.0,21.0,-17.47,16.33,78.8,4.7
8,Cidreira,100.0,BR,1603857911.0,85.0,-30.18,-50.21,62.15,13.11
9,Jacareacanga,64.0,BR,1603857951.0,77.0,-6.22,-57.75,75.79,1.32
10,Rikitea,100.0,PF,1603857770.0,84.0,-23.12,-134.97,75.42,15.5
11,Bonavista,100.0,CA,1603857952.0,83.0,48.65,-53.11,37.0,13.53
12,New Norfolk,91.0,AU,1603857952.0,54.0,-42.78,147.06,62.01,3.0
13,Atuona,1.0,PF,1603857691.0,73.0,-9.8,-139.03,78.78,18.9
14,Les Escoumins,12.0,CA,1603857953.0,95.0,48.11,-69.02,19.96,4.32
15,Lorengau,62.0,PG,1603857953.0,65.0,-2.02,147.27,85.82,1.68
16,Lompoc,1.0,US,1603857893.0,82.0,34.64,-120.46,55.4,3.36
17,Forsytheganj,1.0,BY,1603857953.0,91.0,52.63,29.73,44.06,6.38
18,Bredasdorp,100.0,ZA,1603857802.0,87.0,-34.53,20.04,59.0,3.36
19,Ilulissat,73.0,GL,1603857668.0,72.0,69.22,-51.1,10.4,4.7
20,Kudahuvadhoo,76.0,MV,1603857954.0,74.0,2.67,72.89,83.34,13.47
21,Barrow,75.0,US,1603857954.0,74.0,71.29,-156.79,28.4,23.04
22,East London,0.0,ZA,1603857954.0,93.0,-33.02,27.91,60.8,9.17
23,San Andrés,40.0,CO,1603857955.0,79.0,12.58,-81.7,84.2,5.82
24,Tasiilaq,100.0,GL,1603857955.0,34.0,65.61,-37.64,33.8,9.17
25,Saint George,1.0,US,1603857955.0,15.0,37.1,-113.58,55.4,24.16
26,Kennett,90.0,US,1603857955.0,100.0,36.24,-90.06,46.4,9.17
27,Malbork,100.0,PL,1603857956.0,100.0,54.04,19.03,43.0,10.67
28,Kaitangata,58.0,NZ,1603857956.0,81.0,-46.28,169.85,52.0,8.01
29,Coquimbo,0.0,CL,1603857833.0,87.0,-29.95,-71.34,53.6,9.17
30,Nanortalik,100.0,GL,1603857956.0,90.0,60.14,-45.24,30.58,4.7
31,Lebu,100.0,CL,1603857957.0,88.0,-37.62,-73.65,50.92,12.33
32,Longyearbyen,75.0,SJ,1603857957.0,86.0,78.22,15.64,30.2,5.82
33,Albany,100.0,US,1603857957.0,87.0,42.6,-73.97,44.01,0.45
34,Marabu,40.0,MY,1603857954.0,62.0,4.41,114.01,89.6,5.82
35,Praia da Vitória,75.0,PT,1603857917.0,77.0,38.73,-27.07,62.01,7.83
36,Viedma,2.0,AR,1603857958.0,40.0,-40.81,-63.0,53.92,7.05
37,Caravelas,94.0,BR,1603857899.0,92.0,-17.71,-39.25,76.66,9.17
38,Fairfield,90.0,US,1603857958.0,61.0,41.27,-73.32,52.0,3.36
39,Puerto Ayora,99.0,EC,1603857959.0,94.0,-0.74,-90.35,66.99,1.99
40,Alice Town,34.0,BS,1603857959.0,79.0,25.72,-79.3,81.93,16.55
41,Wattegama,20.0,LK,1603857959.0,58.0,6.8,81.48,88.66,0.63
42,Nikolskoye,90.0,RU,1603857960.0,87.0,59.7,30.79,52.0,11.18
43,Nantucket,90.0,US,1603857936.0,63.0,41.28,-70.1,52.0,5.82
44,Thompson,75.0,CA,1603857888.0,78.0,55.74,-97.86,17.6,5.82
45,Mount Gambier,75.0,AU,1603857960.0,52.0,-37.83,140.77,66.2,3.36
46,Hong Kong,100.0,HK,1603857679.0,70.0,22.29,114.16,79.0,1.01
47,Garoowe,47.0,SO,1603857961.0,57.0,8.41,48.48,74.62,5.1
48,Bluff,72.0,NZ,1603857962.0,79.0,-46.6,168.33,54.0,11.99
49,Geraldton,0.0,AU,1603857816.0,47.0,-28.77,114.6,75.2,19.46
50,Mataura,99.0,NZ,1603857962.0,79.0,-46.19,168.86,54.0,11.99
51,Anadyr,0.0,RU,1603857962.0,92.0,64.75,177.48,14.0,4.47
52,Rocha,99.0,UY,1603857963.0,95.0,-34.48,-54.33,59.23,7.4
53,Kaeo,61.0,NZ,1603857963.0,85.0,-35.1,173.78,65.35,3.04
54,Bengkulu,77.0,ID,1603857819.0,65.0,-3.8,102.27,83.82,5.35
55,Cabo San Lucas,40.0,MX,1603857963.0,69.0,22.89,-109.91,73.4,5.82
56,Qaanaaq,96.0,GL,1603857964.0,82.0,77.48,-69.36,13.5,12.15
57,Husavik,90.0,IS,1603857782.0,74.0,66.04,-17.34,37.4,4.7
58,Carnarvon,0.0,AU,1603857964.0,64.0,-24.87,113.63,75.2,24.16
59,Grindavik,0.0,IS,1603857965.0,55.0,63.84,-22.43,39.2,20.8
60,Mahébourg,8.0,MU,1603857965.0,72.0,-20.41,57.7,75.99,3.0
61,Mindyak,75.0,RU,1603857965.0,89.0,54.02,58.79,32.0,6.71
62,Neuquén,0.0,AR,1603857786.0,37.0,-38.95,-68.06,55.4,3.36
63,Pevek,100.0,RU,1603857966.0,95.0,69.7,170.31,21.04,8.9
64,Srednekolymsk,86.0,RU,1603857966.0,92.0,67.45,153.68,14.09,9.86
65,Margate,83.0,GB,1603857966.0,81.0,51.38,1.39,51.01,4.0
66,Rome,90.0,US,1603857967.0,86.0,43.21,-75.46,41.0,1.07
67,Tilichiki,5.0,RU,1603857825.0,88.0,60.47,166.1,26.29,8.97
68,Kokopo,32.0,PG,1603857967.0,64.0,-4.35,152.26,85.75,5.77
69,Yar-Sale,0.0,RU,1603857967.0,92.0,66.83,70.83,2.5,7.23
70,Santa Maria,0.0,BR,1603857967.0,87.0,-29.68,-53.81,57.2,3.36
71,Limbuhan,27.0,PH,1603857968.0,73.0,11.88,124.05,83.53,3.89
72,Bull Savanna,43.0,JM,1603857968.0,85.0,17.89,-77.59,75.81,4.14
73,Arraial do Cabo,20.0,BR,1603857968.0,92.0,-22.97,-42.03,72.66,19.77
74,Butaritari,12.0,KI,1603857772.0,65.0,3.07,172.79,81.36,3.96
75,Port Elizabeth,0.0,ZA,1603857788.0,87.0,-33.92,25.57,60.8,5.82
76,Buñol,0.0,ES,1603857969.0,58.0,39.42,-0.78,57.0,5.82
77,Luba,40.0,GQ,1603857969.0,100.0,3.46,8.55,75.2,2.24
78,Puta,0.0,AZ,1603857969.0,93.0,40.3,49.66,50.0,4.7
79,Aswān,0.0,EG,1603857968.0,46.0,24.09,32.91,74.3,8.23
80,Tocache,100.0,PE,1603857970.0,89.0,-8.18,-76.51,71.92,1.81
81,Kapaa,40.0,US,1603857970.0,78.0,22.08,-159.32,78.8,11.41
82,Punta Arenas,40.0,CL,1603857737.0,80.0,-53.15,-70.92,41.0,21.92
83,Severo-Kuril'sk,9.0,RU,1603857971.0,78.0,50.68,156.12,45.16,3.51
84,Cradock,9.0,ZA,1603857971.0,53.0,-32.16,25.62,66.02,4.27
85,Jamestown,90.0,US,1603857936.0,100.0,42.1,-79.24,41.0,4.92
86,Hofn,100.0,IS,1603857971.0,78.0,64.25,-15.21,40.6,23.87
87,Belén de Umbría,100.0,CO,1603857972.0,97.0,5.2,-75.87,62.37,1.7
88,Collie,4.0,AU,1603857972.0,32.0,-33.37,116.15,75.99,5.08
89,Lata,100.0,PT,1603857972.0,94.0,40.16,-8.33,62.01,1.01
90,Portland,1.0,US,1603857521.0,75.0,45.52,-122.68,48.0,0.72
91,Bolshoye Nagatkino,100.0,RU,1603857973.0,100.0,54.52,47.97,23.0,7.74
92,Luanda,75.0,AO,1603857973.0,94.0,-8.84,13.23,75.2,3.36
93,Cape Town,75.0,ZA,1603857973.0,87.0,-33.93,18.42,64.0,10.29
94,Puerto Carreño,100.0,CO,1603857804.0,84.0,6.19,-67.49,77.2,8.28
95,Rafaela,0.0,AR,1603857974.0,42.0,-31.25,-61.49,64.0,1.99
96,Ibrā’,0.0,OM,1603857974.0,47.0,22.69,58.53,74.17,2.66
97,Valparaíso,42.0,CL,1603857974.0,64.0,-33.04,-71.63,55.99,15.12
98,Cherskiy,100.0,RU,1603857771.0,92.0,68.75,161.3,14.31,8.81
99,Avarua,100.0,CK,1603857725.0,94.0,-21.21,-159.78,69.8,8.05
100,Road Town,4.0,VG,1603857951.0,89.0,18.42,-64.62,81.0,11.99
101,Ladybrand,29.0,ZA,1603857975.0,48.0,-29.19,27.46,63.28,5.88
102,Atotonilquillo,5.0,MX,1603857975.0,60.0,20.4,-103.13,68.0,3.36
103,Torbay,90.0,CA,1603857798.0,100.0,47.67,-52.73,39.0,8.05
104,Campos Altos,0.0,BR,1603857976.0,88.0,-19.7,-46.17,65.88,3.0
105,Chicama,85.0,PE,1603857976.0,81.0,-7.84,-79.15,64.4,4.56
106,Fort-Shevchenko,0.0,KZ,1603857976.0,60.0,44.51,50.26,42.04,18.59
107,Castro,0.0,BR,1603857977.0,74.0,-24.79,-50.01,56.66,4.45
108,Antalaha,1.0,MG,1603857977.0,71.0,-14.9,50.28,75.72,5.21
109,Khatanga,28.0,RU,1603857978.0,90.0,71.97,102.5,-5.57,9.37
110,Martapura,86.0,ID,1603857978.0,54.0,-3.42,114.85,91.27,3.96
111,Hilo,75.0,US,1603857978.0,78.0,19.73,-155.09,78.8,3.36
112,Sittwe,36.0,MM,1603857979.0,72.0,20.15,92.9,84.27,4.54
113,Yerbogachën,93.0,RU,1603857718.0,92.0,61.28,108.01,21.88,6.6
114,Touros,20.0,BR,1603857882.0,83.0,-5.2,-35.46,77.0,4.7
115,Jasper,90.0,US,1603857979.0,99.0,37.2,-94.35,34.0,10.29
116,Koungheul,0.0,SN,1603857980.0,36.0,13.98,-14.8,74.97,4.21
117,Upata,47.0,VE,1603857980.0,90.0,8.01,-62.4,78.01,3.0
118,Klaksvík,99.0,FO,1603857980.0,81.0,62.23,-6.59,46.4,11.41
119,Bontang,85.0,ID,1603857690.0,63.0,0.13,117.5,86.16,8.21
120,Glendive,40.0,US,1603857686.0,86.0,47.11,-104.71,37.4,13.87
121,Pombia,0.0,IT,1603857981.0,87.0,45.65,8.63,45.0,4.7
122,Bambous Virieux,14.0,MU,1603857981.0,72.0,-20.34,57.76,75.99,3.0
123,Hobart,75.0,AU,1603857954.0,62.0,-42.88,147.33,62.01,11.41
124,San Quintín,0.0,MX,1603857981.0,54.0,30.48,-115.95,60.85,1.19
125,Havøysund,86.0,NO,1603857872.0,100.0,71.0,24.66,33.8,8.05
126,Lavrentiya,29.0,RU,1603857982.0,90.0,65.58,-171.0,27.39,8.16
127,Turukhansk,97.0,RU,1603857982.0,86.0,65.82,87.98,6.37,20.04
128,Grand Gaube,1.0,MU,1603857982.0,72.0,-20.01,57.66,75.99,3.0
129,Kieta,36.0,PG,1603857983.0,74.0,-6.22,155.63,83.55,1.03
130,Port Lincoln,0.0,AU,1603857945.0,56.0,-34.73,135.87,66.29,6.69
131,Ouahigouya,4.0,BF,1603857983.0,17.0,13.58,-2.42,77.14,7.11
132,Clyde River,1.0,CA,1603857983.0,61.0,70.47,-68.59,14.0,6.93
133,Provideniya,75.0,RU,1603857984.0,96.0,64.38,-173.3,32.0,15.66
134,Sambava,2.0,MG,1603857984.0,73.0,-14.27,50.17,75.51,7.7
135,Cairns,37.0,AU,1603857868.0,62.0,-16.92,145.77,90.0,12.75
136,Guerrero Negro,0.0,MX,1603857984.0,37.0,27.98,-114.06,62.49,13.71
137,Kavieng,58.0,PG,1603857984.0,66.0,-2.57,150.8,85.05,5.5
138,Codrington,72.0,AU,1603857814.0,73.0,-38.27,141.97,63.99,6.35
139,Dikson,97.0,RU,1603857963.0,94.0,73.51,80.55,3.99,18.63
140,Chokurdakh,100.0,RU,1603857985.0,97.0,70.63,147.92,11.79,5.99
141,Yokadouma,99.0,CM,1603857985.0,96.0,3.52,15.05,68.0,0.76
142,Ponta do Sol,75.0,PT,1603857986.0,68.0,32.67,-17.1,66.2,3.36
143,Hithadhoo,95.0,MV,1603857738.0,66.0,-0.6,73.08,84.49,10.87
144,Henties Bay,95.0,NA,1603857987.0,90.0,-22.12,14.28,57.0,9.28
145,Port-Gentil,100.0,GA,1603857987.0,85.0,-0.72,8.78,77.81,9.04
146,Laas,5.0,IT,1603857987.0,86.0,46.62,10.7,39.99,3.36
147,Noumea,0.0,NC,1603857987.0,41.0,-22.28,166.46,91.4,11.41
148,George Town,20.0,MY,1603857988.0,74.0,5.41,100.34,87.8,5.82
149,Tomatlán,92.0,MX,1603857988.0,90.0,19.93,-105.25,77.61,1.86
150,Hermanus,99.0,ZA,1603857802.0,89.0,-34.42,19.23,57.99,1.99
151,Noyabrsk,53.0,RU,1603857989.0,93.0,63.2,75.45,4.44,15.99
152,Mar del Plata,0.0,AR,1603857989.0,100.0,-38.0,-57.56,57.0,5.82
153,Mossamedes,2.0,AO,1603857799.0,85.0,-15.2,12.15,69.31,5.26
154,Saint-Philippe,0.0,RE,1603857990.0,61.0,-21.36,55.77,77.0,6.93
155,Kahului,1.0,US,1603857990.0,69.0,20.89,-156.47,82.4,3.36
156,Bemidji,90.0,US,1603857990.0,96.0,47.47,-94.88,32.0,10.29
157,Cockburn Town,21.0,TC,1603857990.0,79.0,21.46,-71.14,82.72,22.15
158,San Jose,0.0,US,1603857386.0,38.0,37.34,-121.89,63.0,0.78
159,Klyuchi,77.0,RU,1603857991.0,81.0,52.27,79.17,34.93,13.8
160,Topraisar,40.0,RO,1603857991.0,100.0,44.02,28.45,54.0,6.93
161,Acaponeta,14.0,MX,1603857991.0,82.0,22.5,-105.36,76.1,1.19
162,Porto-Novo,33.0,BJ,1603857992.0,87.0,6.5,2.6,76.89,3.06
163,Tura,0.0,IN,1603857992.0,68.0,25.52,90.22,81.59,2.28
164,Upernavik,0.0,GL,1603857992.0,78.0,72.79,-56.15,15.17,5.82
165,Makkah al Mukarramah,0.0,SA,1603857992.0,58.0,21.43,39.83,74.26,0.65
166,Sitka,90.0,US,1603857843.0,81.0,57.05,-135.33,44.6,6.93
167,Damietta,0.0,EG,1603857993.0,88.0,31.42,31.81,73.4,6.93
168,Parkersburg,90.0,US,1603857993.0,87.0,39.27,-81.56,54.0,3.36
169,Jardim,0.0,BR,1603857993.0,74.0,-21.48,-56.14,68.04,2.55
170,Vredendal,75.0,ZA,1603857994.0,78.0,-31.67,18.5,57.97,3.96
171,Tynda,100.0,RU,1603857994.0,94.0,55.17,124.72,20.68,5.99
172,Fare,56.0,PF,1603857994.0,81.0,-16.7,-151.02,80.42,17.85
173,Popondetta,24.0,PG,1603857994.0,51.0,-8.75,148.25,91.13,7.14
174,Bhawānipatna,0.0,IN,1603857995.0,58.0,19.9,83.17,78.78,2.64
175,Zalţan,23.0,LY,1603857995.0,54.0,32.95,11.87,64.13,8.39
176,Chiredzi,0.0,ZW,1603857995.0,64.0,-21.05,31.67,68.41,5.5
177,Okitipupa,83.0,NG,1603857995.0,97.0,6.5,4.78,73.51,1.19
178,Pangnirtung,0.0,CA,1603857789.0,76.0,66.15,-65.71,8.35,4.03
179,‘Ewa Beach,75.0,US,1603857782.0,74.0,21.32,-158.01,80.6,3.18
180,Roald,85.0,NO,1603857996.0,75.0,62.58,6.13,46.4,6.93
181,Nome,90.0,US,1603857843.0,86.0,64.5,-165.41,33.8,5.82
182,Tiarei,75.0,PF,1603857997.0,74.0,-17.53,-149.33,82.4,16.11
183,Northam,81.0,GB,1603857997.0,83.0,51.03,-4.22,52.0,11.01
184,Faanui,100.0,PF,1603857847.0,81.0,-16.48,-151.75,79.75,18.12
185,Ouadda,45.0,CF,1603857997.0,69.0,8.08,22.4,68.36,2.1
186,São Filipe,90.0,CV,1603857998.0,69.0,14.9,-24.5,81.37,3.78
187,Tsiroanomandidy,5.0,MG,1603857998.0,58.0,-18.77,46.03,73.02,4.14
188,Anchorage,90.0,US,1603857998.0,92.0,61.22,-149.9,33.01,3.36
189,Saint-Leu,0.0,RE,1603857998.0,61.0,-21.15,55.28,77.0,6.93
190,Jardim de Piranhas,53.0,BR,1603857999.0,73.0,-6.38,-37.35,76.46,8.93
191,Harlingen,90.0,US,1603857999.0,87.0,26.19,-97.7,55.4,12.75
192,Tuatapere,100.0,NZ,1603857721.0,79.0,-46.13,167.68,54.0,11.99
193,Whitehorse,75.0,CA,1603857999.0,86.0,60.72,-135.05,30.2,3.36
194,Khandyga,100.0,RU,1603858000.0,94.0,62.67,135.6,18.18,2.64
195,Batagay-Alyta,0.0,RU,1603858000.0,83.0,67.8,130.41,4.23,2.04
196,San Miguel de Cozumel,98.0,MX,1603858000.0,66.0,20.51,-86.95,80.01,8.01
197,Copiapó,8.0,CL,1603858000.0,76.0,-27.37,-70.33,55.4,1.12
198,Matagami,90.0,CA,1603858000.0,92.0,49.75,-77.63,26.6,11.41
199,Haines Junction,96.0,CA,1603858001.0,95.0,60.75,-137.51,28.56,1.97
200,Itarema,100.0,BR,1603858001.0,85.0,-2.92,-39.92,76.96,10.16
201,La Santisima Trinidad,52.0,BO,1603857732.0,79.0,-14.83,-64.9,76.17,5.06
202,Delmas 73,7.0,HT,1603858001.0,74.0,18.54,-72.3,82.4,4.7
203,Fortuna,1.0,US,1603857789.0,87.0,40.6,-124.16,48.2,8.05
204,Borovoy,40.0,RU,1603858002.0,59.0,55.43,86.08,35.6,22.37
205,Marsh Harbour,69.0,BS,1603857915.0,80.0,26.54,-77.06,81.23,13.0
206,Sioux Lookout,90.0,CA,1603858003.0,86.0,50.1,-91.92,26.6,12.75
207,São João da Barra,87.0,BR,1603857887.0,93.0,-21.64,-41.05,73.98,11.07
208,Dera Bugti,0.0,PK,1603858003.0,16.0,29.03,69.15,79.5,1.97
209,Burnie,79.0,AU,1603857864.0,52.0,-41.07,145.92,61.0,8.99
210,Moranbah,27.0,AU,1603858004.0,34.0,-22.0,148.05,88.48,15.21
211,Camaná,60.0,PE,1603858004.0,78.0,-16.62,-72.71,62.4,6.38
212,Esperance,75.0,AU,1603858004.0,72.0,-33.87,121.9,68.0,18.34
213,Kupang,35.0,ID,1603858004.0,60.0,-10.17,123.58,88.83,12.01
214,Wolbrom,20.0,PL,1603858005.0,93.0,50.38,19.76,50.0,2.24
215,Lexington,90.0,US,1603857975.0,81.0,37.99,-84.48,54.0,4.7
216,Vestmannaeyjar,61.0,IS,1603858005.0,68.0,63.44,-20.27,41.7,21.32
217,Souillac,4.0,MU,1603858005.0,72.0,-20.52,57.52,75.99,3.0
218,West Bay,20.0,KY,1603858006.0,83.0,19.37,-81.42,82.99,5.82
219,Sisimiut,0.0,GL,1603858006.0,89.0,66.94,-53.67,17.65,10.29
220,Cayenne,0.0,GF,1603857878.0,100.0,4.93,-52.33,77.0,9.46
221,Bilibino,100.0,RU,1603858006.0,90.0,68.05,166.44,5.52,1.54
222,Manokwari,46.0,ID,1603858007.0,65.0,-0.87,134.08,85.6,4.45
223,Hambantota,94.0,LK,1603858007.0,69.0,6.12,81.12,83.82,5.68
224,Saint-Ambroise,75.0,CA,1603858007.0,79.0,48.55,-71.33,27.0,3.36
225,Sangar,100.0,RU,1603858006.0,93.0,63.92,127.47,4.75,4.41
226,Antigonish,99.0,CA,1603858008.0,77.0,45.62,-62.0,39.99,5.01
227,Sakaiminato,75.0,JP,1603858008.0,63.0,35.55,133.23,68.0,6.93
228,Malvern,90.0,US,1603858008.0,87.0,34.36,-92.81,50.0,6.93
229,Bagotville,90.0,AU,1603858008.0,78.0,-28.98,153.42,75.99,12.75
230,Laguna,1.0,US,1603858009.0,47.0,38.42,-121.42,61.0,5.08
231,Kruisfontein,45.0,ZA,1603858009.0,96.0,-34.0,24.73,55.99,5.99
232,Nariño,40.0,CO,1603858009.0,100.0,5.61,-75.18,59.0,2.24
233,Olinda,75.0,BR,1603858010.0,74.0,-8.01,-34.86,80.6,5.82
234,Katsuura,75.0,JP,1603858010.0,68.0,35.13,140.3,70.0,3.36
235,Ribeira Grande,100.0,PT,1603857821.0,61.0,38.52,-28.7,62.87,4.65
236,Lagoa,100.0,PT,1603858010.0,64.0,39.05,-27.98,62.17,5.35
237,Madison Heights,90.0,US,1603858011.0,100.0,42.49,-83.11,39.99,5.14
238,Esim,76.0,GH,1603857800.0,87.0,4.87,-2.24,77.88,7.0
239,Karachi,0.0,PK,1603857798.0,82.0,24.91,67.08,68.0,3.36
240,Belmonte,90.0,BR,1603858011.0,83.0,-15.86,-38.88,78.8,10.29
241,Iqaluit,90.0,CA,1603857846.0,62.0,63.75,-68.51,21.2,5.82
242,Maridi,96.0,SS,1603858012.0,96.0,4.92,29.47,67.91,2.26
243,Half Moon Bay,5.0,US,1603858012.0,36.0,37.46,-122.43,64.4,2.73
244,Conakry,74.0,GN,1603858012.0,81.0,9.54,-13.68,80.46,6.67
245,Tanete,97.0,ID,1603858012.0,43.0,-3.94,119.78,94.55,10.09
246,Eureka,1.0,US,1603858013.0,81.0,40.8,-124.16,48.2,2.48
247,Tabuk,60.0,PH,1603858013.0,66.0,17.42,121.44,86.31,3.69
248,Seoul,1.0,KR,1603857918.0,27.0,37.57,126.98,66.2,3.36
249,Krasnooktyabrskiy,0.0,RU,1603858013.0,93.0,44.93,38.37,52.0,2.24
250,Goderich,97.0,CA,1603857848.0,76.0,43.75,-81.72,44.01,12.44
251,Novorudnyy,0.0,RU,1603858014.0,85.0,51.5,58.19,24.8,11.18
252,Hasaki,75.0,JP,1603858014.0,56.0,35.73,140.83,69.01,3.36
253,La Rioja,40.0,ES,1603857937.0,93.0,42.25,-2.5,50.0,4.79
254,Sørland,20.0,NO,1603857918.0,86.0,67.67,12.69,41.0,2.24
255,Hay River,75.0,CA,1603858015.0,79.0,60.82,-115.8,19.4,10.29
256,Şabrātah,21.0,LY,1603858015.0,51.0,32.79,12.49,67.55,8.61
257,Hobyo,4.0,SO,1603858015.0,75.0,5.35,48.53,79.97,6.38
258,San Cristobal,56.0,VE,1603858016.0,92.0,7.77,-72.22,66.34,2.13
259,Kīhei,1.0,US,1603858016.0,69.0,20.79,-156.47,82.4,3.36
260,Tecpan,75.0,GT,1603858016.0,100.0,14.76,-90.99,64.99,4.7
261,Rawson,36.0,AR,1603857881.0,36.0,-43.3,-65.1,56.59,13.06
262,Manta,75.0,EC,1603858017.0,83.0,-0.95,-80.73,73.4,9.17
263,Ust'-Ilimsk,100.0,RU,1603858017.0,87.0,58.0,102.66,34.74,6.44
264,Poso,100.0,ID,1603858018.0,59.0,-1.4,120.75,87.39,5.39
265,Tiksi,1.0,RU,1603858018.0,90.0,71.69,128.87,-2.81,13.78
266,Sumbe,89.0,AO,1603858018.0,86.0,-11.21,13.84,75.16,8.05
267,Asahi,75.0,JP,1603858018.0,56.0,35.72,140.65,69.01,3.36
268,Okhotsk,0.0,RU,1603858019.0,79.0,59.38,143.3,33.22,4.97
269,Micco,0.0,US,1603858019.0,97.0,27.88,-80.5,80.01,11.3
270,Kālāvad,0.0,IN,1603858019.0,19.0,22.22,70.38,84.94,6.67
271,South River,95.0,US,1603858019.0,79.0,40.45,-74.39,55.0,1.57
272,Jodhpur,0.0,IN,1603858020.0,15.0,26.29,73.03,80.74,5.88
273,Pochutla,70.0,MX,1603858020.0,94.0,15.74,-96.47,77.0,3.18
274,Deputatsky,7.0,RU,1603858020.0,92.0,69.3,139.9,-0.85,5.44
275,Sterling,90.0,US,1603857905.0,87.0,39.01,-77.43,60.8,2.51
276,Flinders,40.0,AU,1603858021.0,63.0,-34.58,150.86,69.01,8.05
277,Balkhash,20.0,KZ,1603858021.0,55.0,46.84,74.98,33.8,15.66
278,Te Anau,89.0,NZ,1603858021.0,41.0,-45.42,167.72,62.96,2.93
279,Hualmay,92.0,PE,1603858021.0,88.0,-11.1,-77.61,62.76,7.43
280,Amberley,90.0,US,1603858022.0,93.0,39.2,-84.43,48.99,4.7
281,Pandan,21.0,PH,1603858022.0,64.0,14.05,124.17,86.11,3.91
282,Beringovskiy,67.0,RU,1603858022.0,93.0,63.05,179.32,27.28,12.97
